frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.checksum,tcp.flags.ack,tcp.len,tcp.connection.syn,tcp.connection.fin,tcp.connection.synack,tcp.connection.rst,http.content_length,http.response.code,http.response.phrase
"276.400215441","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.500021281","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.500021441","10.1.1.20","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.500058281","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.500058281","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.500093521","10.1.1.3","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.500127441","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.600021441","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.600021521","10.1.1.1","10.1.1.21","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.600057441","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.600057441","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.600079281","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.600100001","10.1.1.1","10.1.1.13","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.600128281","10.1.1.4","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.600204681","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"276.600241521","10.1.1.10","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.600367281","10.1.1.3","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.600367281","10.1.1.1","10.1.1.3","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.700021441","10.1.1.1","10.1.1.20","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.700021441","10.1.1.5","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"276.700058681","10.1.1.6","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"276.700093281","10.1.1.3","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.700126281","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.700127441","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.700330281","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.800021441","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.800021521","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.800062281","10.1.1.12","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.800128281","10.1.1.1","10.1.1.4","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.800204681","10.1.1.1","10.1.1.15","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.800241521","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900021441","10.1.1.1","10.1.1.5","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900021521","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"276.900056281","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"276.900056281","10.1.1.1","10.1.1.7","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900063841","10.1.1.1","10.1.1.6","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900093281","10.1.1.1","10.1.1.3","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900126281","10.1.1.1","10.1.1.19","80","49153","0x0010","0x0000","1","0",,,,,,,
"276.900330281","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.000021281","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.000054281","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.000062281","10.1.1.1","10.1.1.12","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.000076681","10.1.1.10","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.000317521","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"277.100021281","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.100021521","10.1.1.1","10.1.1.14","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.100071281","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.100071281","10.1.1.1","10.1.1.15","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.100170281","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.200021281","10.1.1.1","10.1.1.16","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.200021441","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.200060441","10.1.1.6","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.200076681","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.200085681","10.1.1.4","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.200175681","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.200317521","10.1.1.1","10.1.1.7","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.200390281","10.1.1.9","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.200390281","10.1.1.1","10.1.1.9","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.300021441","10.1.1.21","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.300051441","10.1.1.5","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.300080281","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.300130281","10.1.1.10","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.300167681","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.300170281","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400021281","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.400021441","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400058281","10.1.1.6","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.400058281","10.1.1.1","10.1.1.6","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400085681","10.1.1.1","10.1.1.4","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400100441","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.400117241","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400148681","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.400173521","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"277.400209801","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.400226361","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.500021441","10.1.1.1","10.1.1.21","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.500021441","10.1.1.20","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.500051441","10.1.1.1","10.1.1.5","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.500056281","10.1.1.13","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"277.500104441","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"277.500130281","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"277.500535681","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"277.600021281","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
